experiment_id,target,condition,seed,run_id,artifact_root,source_git_sha,manifest_sha256,predictions_sha256,metrics_sha256,model,prediction_variant,metric,value,metric_status,n_endpoints,stored_metric_match
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,hist_gradient_boosting,clipped,mae,12.474686450830925,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,hist_gradient_boosting,clipped,signed_error,4.6857650849531005,reconstructed,100,True
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,hist_gradient_boosting,clipped,nasa_score,501.67496445920347,reconstructed,100,True
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,mean,raw,rmse,42.99238410984966,reconstructed,100,PENDING
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,mean,raw,mae,35.9,reconstructed,100,PENDING
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,mean,raw,signed_error,11.021592055998688,reconstructed,100,PENDING
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,mean,raw,nasa_score,32707.992398466104,reconstructed,100,PENDING
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,mean,clipped,rmse,41.857784203761796,reconstructed,100,True
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,mean,clipped,mae,34.83,reconstructed,100,True
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,mean,clipped,signed_error,12.091592055998687,reconstructed,100,True
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,mean,clipped,nasa_score,32427.085277640228,reconstructed,100,True
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,ridge,raw,rmse,18.812936543548002,reconstructed,100,PENDING
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,ridge,raw,mae,14.562164111864314,reconstructed,100,PENDING
